Date,Project,Chain,Project Type,Loss,Type,Attack tx,Analyse,Reference Link
2023.04.12,MetaPoint,BSC,,820K,Unrestricted Approval,https://app.blocksec.com/explorer/tx/bsc/0xccd12f22629b2c42d2b680362dadbd1b3d89cb4a87a8c9b297766b4974c6ad34,,
2023.04.11,Paribus,Arbitrum,,100K,Reentrancy,https://app.blocksec.com/explorer/tx/arbitrum/0x0e29dcf4e9b211a811caf00fc8294024867bffe4ab2819cc1625d2e9d62390af,,
2023.04.09,SushiSwap,ETH,,3.3M,Unchecked User Input,https://etherscan.io/tx/0xea3480f1f1d1f0b32283f8f282ce16403fe22ede35c0b71a732193e56c5c45e8,,
2023.04.05,Sentiment,Arbitrum,,1M,Read-Only-Reentrancy,https://arbiscan.io/tx/0xa9ff2b587e2741575daf893864710a5cbb44bb64ccdc487a100fa20741e0f74d,,
2023.04.02,Allbridge,BSC BSC,,550K,FlashLoan price manipulation,https://bscscan.com/tx/0x7ff1364c3b3b296b411965339ed956da5d17058f3164425ce800d64f1aef8210|https://bscscan.com/tx/0x7ff1364c3b3b296b411965339ed956da5d17058f3164425ce800d64f1aef8210,,
2023.03.25,DBW,BSC BSC,,24K,Business Logic Flaw,https://bscscan.com/tx/0x3b472f87431a52082bae7d8524b4e0af3cf930a105646259e1249f2218525607|https://bscscan.com/tx/0x99bd500387e8135c15dc6c04fb3cb5d2d50ff8d142c2f1bd3d8eca21f805653d,,
2023.03.12,EulerFinance,ETH ETH,,200M,Business Logic Flaw,https://etherscan.io/tx/0xc310a0affe2169d1f6feec1c63dbc7f7c62a887fa48795d327d4d2da2d6b111d|https://app.blocksec.com/explorer/tx/eth/0xc310a0affe2169d1f6feec1c63dbc7f7c62a887fa48795d327d4d2da2d6b111d,,
2023.03.07,Phoenix,Polygon,,100K,Access Control & Arbitrary External Call,https://polygonscan.com/tx/0x6fa6374d43df083679cdab97149af8207cda2471620a06d3f28b115136b8e2c4,,
2023.02.27,LaunchZone,BSC,,320000,Access Control,https://bscscan.com/tx/0xaee8ef10ac816834cd7026ec34f35bdde568191fe2fa67724fcf2739e48c3cae,,
2023.02.24,EFVault,ETH,,5.1M,Storage Collision,https://etherscan.io/tx/0x1fe5a53405d00ce2f3e15b214c7486c69cbc5bf165cf9596e86f797f62e81914,,
2023.02.22,DYNA,BSC,,21K,Business Logic Flaw,https://bscscan.com/tx/0xc09678fec49c643a30fc8e4dec36d0507dae7e9123c270e1f073d335deab6cf0,,
2023.02.17,Starlink,BSC,,12K,Business Logic Flaw,https://bscscan.com/tx/0x146586f05a4513136deab3557ad15df8f77ffbcdbd0dd0724bc66dbeab98a962,,
2023.02.10,Sheep,BSC,,3K,Reflection token,https://app.blocksec.com/explorer/tx/bsc/0x61293c6dd5211a98f1a26c9f6821146e12fb5e20c850ad3ed2528195c8d4c98e,,
2023.02.07,CowSwap,ETH ETH,,120K,Arbitrary External Call Vulnerability,https://etherscan.io/tx/0x92f906bce94bab417cccc87ae046448d7fb8c2c0350b7ed911545577acb3bfc1|https://etherscan.io/tx/0x90b468608fbcc7faef46502b198471311baca3baab49242a4a85b73d4924379b,,
2023.02.06,FDP,BSC,,16WBNB,Reflection token,https://bscscan.com/tx/0x09925028ce5d6a54801d04ff8f39e79af6c24289e84b301ddcdb6adfa51e901b,,
2023.02.03,Spherax USDs,Arbitrum Arbitrum,,309K,Balance Recalculation Bug,https://arbiscan.io/tx/0xe74641b4b7e9c9eb7ab46082f322efbc510b8d39af609d934f41c41d7057fe49|https://arbiscan.io/tx/0xfaf84cabc3e1b0cf1ff1738dace1b2810f42d98baeea17b146ae032f0bdf82d5,,
2023.01.19,ThoreumFinance,BSC,,2000BNB,business logic flaw,https://bscscan.com/tx/0x3fe3a1883f0ae263a260f7d3e9b462468f4f83c2c88bb89d1dee5d7d24262b51,,
2023.01.18,UPSToken,ETH,,22ETH,business logic flaw,https://etherscan.io/tx/0x4b3df6e9c68ae482c71a02832f7f599ff58ff877ec05fed0abd95b31d2d7d912,,
2023.01.17,OmniEstate,BSC BSC,,70K,No Input Parameter Check,https://app.blocksec.com/explorer/tx/bsc/0x49bed801b9a9432728b1939951acaa8f2e874453d39c7d881a62c2c157aa7613|https://app.blocksec.com/explorer/tx/bsc/0xa916674fb8203fac6d78f5f9afc604be468a514aa61ea36c6d6ef26ecfbd0e97,,
2023.01.16,MidasCapital,Polygon,,650K,Read-only Reentrancy,https://polygonscan.com/tx/0x0053490215baf541362fc78be0de98e3147f40223238d5b12512b3e26c0a2c2f,,
2023.01.11,RoeFinance,ETH,,80K,FlashLoan price manipulation,https://app.blocksec.com/explorer/tx/eth/0x927b784148b60d5233e57287671cdf67d38e3e69e5b6d0ecacc7c1aeaa98985b,,
2023.01.03,GDS,BSC BSC,,180K,Business Logic Flaw,https://bscscan.com/tx/0x2bb704e0d158594f7373ec6e53dc9da6c6639f269207da8dab883fc3b5bf6694|https://app.blocksec.com/explorer/tx/bsc/0x2bb704e0d158594f7373ec6e53dc9da6c6639f269207da8dab883fc3b5bf6694,,
